 Imunizações - Cobertura - São Paulo,,,,
Coberturas Vacinais por Município e Imunobiológicos,,,,
Imunobiológicos: Sarampo,,,,
Período:1997,coverage,,,
County,measles routine,,,
352690 Limeira,112.26,,,
352700 Lindóia,103.80,,,
352710 Lins,95.04,,,
352720 Lorena,137.33,,,
352725 Lourdes,114.81,,,
352730 Louveira,143.85,,,
352740 Lucélia,113.06,,,
352750 Lucianópolis,127.78,,,
352760 Luís Antônio,137.18,,,
352770 Luiziânia,106.10,,,
352780 Lupércio,110.71,,,
352790 Lutécia,102.00,,,
352800 Macatuba,96.96,,,
352810 Macaubal,121.10,,,
352820 Macedônia,100.00,,,
352830 Magda,92.31,,,
352840 Mairinque,197.42,,,
352850 Mairiporã,124.77,,,
352860 Manduri,92.13,,,
352870 Marabá Paulista,73.75,,,
352880 Maracaí,140.93,,,
352885 Marapoama,190.32,,,
352890 Mariápolis,121.74,,,
352900 Marília,109.99,,,
352910 Marinópolis,182.86,,,
352920 Martinópolis,108.27,,,
352930 Matão,103.61,,,
352940 Mauá,152.37,,,
352950 Mendonça,84.21,,,
352960 Meridiano,145.28,,,
352965 Mesópolis,114.71,,,
352970 Miguelópolis,105.09,,,
352980 Mineiros do Tietê,110.29,,,
353000 Mira Estrela,197.06,,,
352990 Miracatu,119.84,,,
353010 Mirandópolis,110.08,,,
353020 Mirante do Paranapanema,104.06,,,
353030 Mirassol,120.03,,,
353040 Mirassolândia,140.32,,,
353050 Mococa,107.17,,,
353060 Mogi das Cruzes,138.32,,,
353070 Mogi Guaçu,112.01,,,
353080 Moji Mirim,85.82,,,
353090 Mombuca,168.63,,,
353100 Monções,105.88,,,
353110 Mongaguá,147.76,,,
353120 Monte Alegre do Sul,127.55,,,
353130 Monte Alto,91.69,,,
353140 Monte Aprazível,103.42,,,
353150 Monte Azul Paulista,117.56,,,
353160 Monte Castelo,103.51,,,
353180 Monte Mor,95.75,,,
353170 Monteiro Lobato,114.29,,,
353190 Morro Agudo,104.10,,,
353200 Morungaba,77.38,,,
353205 Motuca,87.50,,,
353210 Murutinga do Sul,146.34,,,
353215 Nantes,122.58,,,
353220 Narandiba,100.00,,,
353230 Natividade da Serra,62.88,,,
353240 Nazaré Paulista,93.53,,,
353250 Neves Paulista,95.33,,,
353260 Nhandeara,81.60,,,
353270 Nipoã,144.68,,,
353280 Nova Aliança,96.55,,,
353282 Nova Campina,127.71,,,
353284 Nova Canaã Paulista,131.03,,,
353290 Nova Europa,80.45,,,
353300 Nova Granada,104.80,,,
353310 Nova Guataporanga,130.00,,,
353320 Nova Independência,128.21,,,
353330 Nova Luzitânia,89.66,,,
353340 Nova Odessa,127.50,,,
353325 Novais,140.85,,,
353350 Novo Horizonte,90.59,,,
353360 Nuporanga,85.71,,,
353370 Ocauçu,96.47,,,
353380 Óleo,75.00,,,
353390 Olímpia,109.52,,,
353400 Onda Verde,105.77,,,
353410 Oriente,117.91,,,
353420 Orindiúva,95.24,,,
353430 Orlândia,102.15,,,
353440 Osasco,141.26,,,
353450 Oscar Bressane,133.33,,,
353460 Osvaldo Cruz,117.72,,,
353470 Ourinhos,95.04,,,
353480 Ouro Verde,82.31,,,
353475 Ouroeste,133.33,,,
353490 Pacaembu,105.88,,,
353500 Palestina,116.81,,,
353510 Palmares Paulista,88.36,,,
353520 Palmeira d'Oeste,120.00,,,
353530 Palmital,107.47,,,
353540 Panorama,104.55,,,
353550 Paraguaçu Paulista,94.05,,,
353560 Paraibuna,125.32,,,
353570 Paraíso,123.66,,,
353580 Paranapanema,122.43,,,
353590 Paranapuã,198.51,,,
353600 Parapuã,96.48,,,
353610 Pardinho,82.00,,,
353620 Pariquera-Açu,100.29,,,
353625 Parisi,171.43,,,
353630 Patrocínio Paulista,82.98,,,
353640 Paulicéia,172.88,,,
353650 Paulínia,141.14,,,
353657 Paulistânia,96.88,,,
353660 Paulo de Faria,117.69,,,
353670 Pederneiras,118.72,,,
353680 Pedra Bela,77.91,,,
353690 Pedranópolis,90.00,,,
353700 Pedregulho,87.79,,,
353710 Pedreira,77.44,,,
353715 Pedrinhas Paulista,158.54,,,
353720 Pedro de Toledo,172.08,,,
353730 Penápolis,95.34,,,
353740 Pereira Barreto,99.07,,,
353750 Pereiras,106.33,,,
353760 Peruíbe,109.08,,,
353770 Piacatu,120.22,,,
353780 Piedade,143.28,,,
353790 Pilar do Sul,128.60,,,
353800 Pindamonhangaba,115.01,,,
353810 Pindorama,96.57,,,
353820 Pinhalzinho,89.60,,,
353830 Piquerobi,117.07,,,
353850 Piquete,141.53,,,
353860 Piracaia,91.85,,,
353870 Piracicaba,127.79,,,
353880 Piraju,121.38,,,
353890 Pirajuí,112.18,,,
353900 Pirangi,80.13,,,
353910 Pirapora do Bom Jesus,127.53,,,
353920 Pirapozinho,112.99,,,
353930 Pirassununga,98.20,,,
353940 Piratininga,107.98,,,
353950 Pitangueiras,83.45,,,
353960 Planalto,108.51,,,
353970 Platina,112.73,,,
353980 Poá,179.10,,,
353990 Poloni,91.94,,,
354000 Pompéia,118.87,,,
354010 Pongaí,87.23,,,
354020 Pontal,100.17,,,
354025 Pontalinda,108.62,,,
354030 Pontes Gestal,186.67,,,
354040 Populina,133.33,,,
354050 Porangaba,113.83,,,
354060 Porto Feliz,127.16,,,
354070 Porto Ferreira,87.64,,,
354075 Potim,94.38,,,
354080 Potirendaba,131.25,,,
354085 Pracinha,74.07,,,
354090 Pradópolis,121.56,,,
354100 Praia Grande,156.99,,,
354105 Pratânia,115.71,,,
354110 Presidente Alves,73.77,,,
354120 Presidente Bernardes,137.68,,,
354130 Presidente Epitácio,109.99,,,
354140 Presidente Prudente,112.87,,,
354150 Presidente Venceslau,106.78,,,
354160 Promissão,87.81,,,
354165 Quadra,75.00,,,
354170 Quatá,79.83,,,
354180 Queiroz,82.98,,,
354190 Queluz,134.38,,,
354200 Quintana,109.41,,,
354210 Rafard,108.61,,,
354220 Rancharia,94.39,,,
