"Sarampo: casos confirmados por município de residência, estado de São Paulo, 1997.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
County,cases,rate ,death,Letalidade,,,,county,,population
ITAPEVA,8,10.29,,0.00,,,,ITAPEVA,23,77767
ITAPEVI,135,101.11,,0.00,,,,ITAPEVI,05,133523
ITAPIRA,1,1.64,,0.00,,,,ITAPIRA,20,60791
ITÁPOLIS,2,5.52,,0.00,,,,ITAPOLIS,07,36253
ITAPUI,1,10.10,,0.00,,,,ITAPUI,10,9897
ITAQUAQUECETUBA,233,102.04,,0.00,,,,ITAQUAQUECETUBA,03,228344
ITARARÉ,1,2.22,,0.00,,,,ITARARE,23,45034
ITATIBA,34,47.49,,0.00,,,,ITATIBA,12,71590
ITATINGA,2,14.37,,0.00,,,,ITATINGA,11,13917
ITOBI,1,14.70,,0.00,,,,ITOBI,20,6802
ITU,23,18.77,,0.00,,,,ITU,23,122528
ITUPEVA,8,38.83,,0.00,,,,ITUPEVA,12,20605
ITUVERAVA,3,8.79,,0.00,,,,ITUVERAVA,13,34116
JABORANDI,4,62.42,,0.00,,,,JABORANDI,09,6408
JABOTICABAL,6,9.56,,0.00,,,,JABOTICABAL,18,62774
JACAREÍ,22,13.11,,0.00,,,,JACAREI,21,167751
JAGUARIÚNA,7,27.56,,0.00,,,,JAGUARIUNA,20,25399
JALES,3,6.85,,0.00,,,,JALES,22,43784
JANDIRA,13,17.25,,0.00,,,,JANDIRA,05,75352
JARDINÓPOLIS,4,16.25,,0.00,,,,JARDINOPOLIS,18,24615
JARINU,10,80.76,,0.00,,,,JARINU,12,12382
JUNDIAÍ,165,56.24,,0.00,,,,JUNDIAI,12,293373
JUQUIÁ,6,32.11,,0.00,,,,JUQUIA,17,18685
JUQUITIBA,8,36.61,,0.00,,,,JUQUITIBA,05,21850
LEME,11,14.13,,0.00,,,,LEME,15,77825
LIMEIRA,13,5.64,,0.00,,,,LIMEIRA,15,230348
LINS,3,4.94,,0.00,,,,LINS,10,60788
LORENA,2,2.73,,0.00,,,,LORENA,24,73296
LOUVEIRA,14,77.48,,0.00,,,,LOUVEIRA,12,18069
